Timestamp,Wind_ms,Temperature_c,Turbine_power_kw,Turbine_energy_kwh,Res_demand_kw,Res_energy_kwh,Season,Day,Time,Hour,Res_energy_total_kwh,Turbine_energy_total_kwh,Excess_energy,Export_probability,Can_export,Export_energy_kwh,Curtailment_energy_kwh
2017-11-01 21:30:00,13.03,8.9,851.5,425.75,0.2942117824773413,0.14710589123867066,Autumn,2017-11-01,21:30:00,21,1523.7228214501506,212875.0,211351.27717854985,0.6707887000563961,True,20000.0,191351.27717854985
2017-11-01 22:00:00,12.639999999999999,7.8,826.7333333333333,413.3666666666667,0.268496726759996,0.134248363379998,Autumn,2017-11-01,22:00:00,22,1390.5445478900192,206683.33333333334,205292.78878544332,0.28468925387828314,True,20000.0,185292.78878544332
2017-11-01 22:30:00,12.713333333333333,7.8,855.3666666666667,427.68333333333334,0.2249137878940477,0.11245689394702385,Autumn,2017-11-01,22:30:00,22,1164.828507503273,213841.66666666666,212676.8381591634,0.9856736453946608,False,0.0,212676.8381591634
2017-11-01 23:00:00,12.806666666666667,8.9,754.6333333333333,377.31666666666666,0.1920755287009063,0.09603776435045315,Autumn,2017-11-01,23:00:00,23,994.7591631419938,188658.33333333334,187663.57417019134,0.03342999035942851,True,20000.0,167663.57417019134
2017-11-01 23:30:00,12.293333333333333,7.8,739.8,369.9,0.1642800604229607,0.08214003021148035,Autumn,2017-11-01,23:30:00,23,850.8064329305134,184950.0,184099.19356706948,0.21955324606213888,True,20000.0,164099.19356706948
2017-11-02 00:00:00,12.610000000000001,7.8,765.4,382.7,0.1434775065563849,0.07173875327819244,Autumn,2017-11-02,00:00:00,0,743.0700064555174,191350.0,190606.92999354447,0.1844507166399969,True,20000.0,170606.92999354447
2017-11-02 00:30:00,12.233333333333333,7.8,729.6333333333333,364.81666666666666,0.1271010579345088,0.0635505289672544,Autumn,2017-11-02,00:30:00,0,658.2563790428211,182408.33333333334,181750.07695429053,0.14524977586770882,True,20000.0,161750.07695429053
2017-11-02 01:00:00,13.076666666666666,7.8,712.4666666666667,356.23333333333335,0.1153071579583207,0.05765357897916035,Autumn,2017-11-02,01:00:00,1,597.1757710661428,178116.6666666667,177519.49089560055,0.19485577949819954,True,20000.0,157519.49089560055
2017-11-02 01:30:00,11.629999999999999,7.8,712.6333333333333,356.31666666666666,0.1079018522246829,0.05395092611234145,Autumn,2017-11-02,01:30:00,1,558.8236926716328,178158.33333333334,177599.5096406617,0.8256566053549586,False,0.0,177599.5096406617
2017-11-02 02:00:00,11.493333333333334,8.9,721.9333333333333,360.96666666666664,0.1055389028686462,0.0527694514343231,Autumn,2017-11-02,02:00:00,2,546.5859779567187,180483.3333333333,179936.7473553766,0.37210028215827096,True,20000.0,159936.7473553766
2017-11-02 02:30:00,11.076666666666666,8.9,684.8,342.4,0.1011633618520382,0.0505816809260191,Autumn,2017-11-02,02:30:00,2,523.9250510317058,171200.0,170676.0749489683,0.2695765708932605,True,20000.0,150676.0749489683
2017-11-02 03:00:00,10.586666666666668,7.8,578.1333333333333,289.06666666666666,0.0981180674383492,0.0490590337191746,Autumn,2017-11-02,03:00:00,3,508.15347126321046,144533.33333333334,144025.17986207013,0.2992602722989346,True,20000.0,124025.17986207013
2017-11-02 03:30:00,9.143333333333334,8.9,384.3333333333333,192.16666666666666,0.0966052340211374,0.0483026170105687,Autumn,2017-11-02,03:30:00,3,500.31850699547056,96083.33333333333,95583.01482633787,0.7836675056675331,False,0.0,95583.01482633787
2017-11-02 04:00:00,8.183333333333334,8.9,271.0,135.5,0.0973514846502264,0.0486757423251132,Autumn,2017-11-02,04:00:00,4,504.1833390035225,67750.0,67245.81666099648,0.2788179533011059,True,20000.0,47245.81666099648
2017-11-02 04:30:00,8.403333333333332,8.9,276.26666666666665,138.13333333333333,0.1004289884247609,0.05021449421238045,Autumn,2017-11-02,04:30:00,4,520.1217310518367,69066.66666666666,68546.54493561482,0.2933735340913334,True,20000.0,48546.54493561482
2017-11-02 05:00:00,7.906666666666666,7.8,265.3,132.65,0.1067949672873679,0.05339748364368395,Autumn,2017-11-02,05:00:00,5,553.0911355812783,66325.0,65771.90886441873,0.8737015605856479,False,0.0,65771.90886441873
2017-11-02 05:30:00,7.203333333333333,7.8,191.0,95.5,0.1220690488173125,0.06103452440865625,Autumn,2017-11-02,05:30:00,5,632.1956038248615,47750.0,47117.80439617514,0.7469040162094391,False,0.0,47117.80439617514
2017-11-02 06:00:00,6.703333333333333,7.8,142.1,71.05,0.1517143432310015,0.07585717161550075,Autumn,2017-11-02,06:00:00,6,785.7285835933568,35525.0,34739.27141640664,0.9474008994983176,False,0.0,34739.27141640664
