Timestamp,Wind_speed_scraped,Wind_speed_baseline,Power_baseline,Month,Month_int,correction_factor,Wind_speed_monthly_scaled,Naive_Power_scraped,Naive_Power_diff,Weibull_Power,3PL_Power,Potential_theoretical_energy
2017-04-16 22:30:00,3.58,,,2017-04,4,1.4808379302456867,5.301399790279558,67.20277224631366,,39.27119080040635,0.030370543182221894,67.20277224631366
2017-04-16 23:00:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-16 23:30:00,2.68,,,2017-04,4,1.4808379302456867,3.9686456530584406,28.193077883093626,,5.302243436058673,2.6626870234081313e-08,28.193077883093626
2017-04-17 00:00:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-17 00:30:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-17 01:00:00,2.68,,,2017-04,4,1.4808379302456867,3.9686456530584406,28.193077883093626,,5.302243436058673,2.6626870234081313e-08,28.193077883093626
2017-04-17 01:30:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-17 02:00:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-17 02:30:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-17 03:00:00,3.58,,,2017-04,4,1.4808379302456867,5.301399790279558,67.20277224631366,,39.27119080040635,0.030370543182221894,67.20277224631366
2017-04-17 03:30:00,3.13,,,2017-04,4,1.4808379302456867,4.635022721668999,44.91290243227818,,17.106923515648408,7.592308190466256e-05,44.91290243227818
2017-04-17 04:00:00,3.13,,,2017-04,4,1.4808379302456867,4.635022721668999,44.91290243227818,,17.106923515648408,7.592308190466256e-05,44.91290243227818
2017-04-17 04:30:00,0.45,,,2017-04,4,1.4808379302456867,0.666377068610559,0.13346753829514987,,0.0,3.8007848866067355e-42,0.13346753829514987
2017-04-17 05:00:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-17 05:30:00,2.68,,,2017-04,4,1.4808379302456867,3.9686456530584406,28.193077883093626,,5.302243436058673,2.6626870234081313e-08,28.193077883093626
2017-04-17 06:00:00,2.24,,,2017-04,4,1.4808379302456867,3.3170769637503383,16.461983573502625,,0.7903482867076539,1.2771903656215463e-12,16.461983573502625
2017-04-17 06:30:00,2.68,,,2017-04,4,1.4808379302456867,3.9686456530584406,28.193077883093626,,5.302243436058673,2.6626870234081313e-08,28.193077883093626
2017-04-17 07:00:00,2.68,,,2017-04,4,1.4808379302456867,3.9686456530584406,28.193077883093626,,5.302243436058673,2.6626870234081313e-08,28.193077883093626
2017-04-17 07:30:00,2.68,,,2017-04,4,1.4808379302456867,3.9686456530584406,28.193077883093626,,5.302243436058673,2.6626870234081313e-08,28.193077883093626
2017-04-17 08:00:00,3.13,,,2017-04,4,1.4808379302456867,4.635022721668999,44.91290243227818,,17.106923515648408,7.592308190466256e-05,44.91290243227818
2017-04-17 08:30:00,5.36,,,2017-04,4,1.4808379302456867,7.937291306116881,225.544623064749,,259.9945046969552,354.96441927777363,225.544623064749
2017-04-17 09:00:00,3.58,,,2017-04,4,1.4808379302456867,5.301399790279558,67.20277224631366,,39.27119080040635,0.030370543182221894,67.20277224631366
2017-04-17 09:30:00,7.15,,,2017-04,4,1.4808379302456867,10.58799120125666,535.3727157139167,,611.9526554292038,518.7521171458849,535.3727157139167
2017-04-17 10:00:00,6.71,,,2017-04,4,1.4808379302456867,9.936422511948557,442.4922508346309,,527.8528800419052,457.64843253652975,442.4922508346309
2017-04-17 10:30:00,7.15,,,2017-04,4,1.4808379302456867,10.58799120125666,535.3727157139167,,611.9526554292038,518.7521171458849,535.3727157139167
2017-04-17 11:00:00,8.05,,,2017-04,4,1.4808379302456867,11.92074533847778,764.0569844772585,,752.4604722078844,843.7977055332136,764.0569844772585
2017-04-17 11:30:00,7.6,,,2017-04,4,1.4808379302456867,11.254368269867218,642.9524948219664,,688.4911713859582,676.5198626300706,642.9524948219664
2017-04-17 12:00:00,7.6,,,2017-04,4,1.4808379302456867,11.254368269867218,642.9524948219664,,688.4911713859582,676.5198626300706,642.9524948219664
2017-04-17 12:30:00,6.26,,,2017-04,4,1.4808379302456867,9.270045443337999,359.30321945822544,,436.7465339228757,449.9900179606646,359.30321945822544
2017-04-17 13:00:00,8.94,,,2017-04,4,1.4808379302456867,13.238691096396439,900.0,,838.7316758882523,899.9196532444164,1046.5275492406581
2017-04-17 14:00:00,8.05,,,2017-04,4,1.4808379302456867,11.92074533847778,764.0569844772585,,752.4604722078844,843.7977055332136,764.0569844772585
2017-04-17 14:30:00,8.94,,,2017-04,4,1.4808379302456867,13.238691096396439,900.0,,838.7316758882523,899.9196532444164,1046.5275492406581
2017-04-17 15:00:00,7.15,,,2017-04,4,1.4808379302456867,10.58799120125666,535.3727157139167,,611.9526554292038,518.7521171458849,535.3727157139167
2017-04-17 15:30:00,7.6,,,2017-04,4,1.4808379302456867,11.254368269867218,642.9524948219664,,688.4911713859582,676.5198626300706,642.9524948219664
2017-04-17 16:00:00,7.6,,,2017-04,4,1.4808379302456867,11.254368269867218,642.9524948219664,,688.4911713859582,676.5198626300706,642.9524948219664
2017-04-17 16:30:00,6.26,,,2017-04,4,1.4808379302456867,9.270045443337999,359.30321945822544,,436.7465339228757,449.9900179606646,359.30321945822544
2017-04-17 17:00:00,8.94,,,2017-04,4,1.4808379302456867,13.238691096396439,900.0,,838.7316758882523,899.9196532444164,1046.5275492406581
