Timestamp,Wind_speed_baseline,Power_baseline,Wind_speed_scraped,Month,Month_int,correction_factor_x,Wind_speed_monthly_scaled,Wind_speed_linear_scaled,correction_factor_y
2017-03-26 03:00:00,13.488,899.92,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 03:30:00,13.903846153846153,899.0,0.89,2017-03,3,1.6486599676933469,1.4673073712470788,3.3228728929637823,1.6486599676933469
2017-03-26 04:00:00,11.987499999999999,824.5833333333334,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-26 04:30:00,12.320833333333333,868.125,6.26,2017-03,3,1.6486599676933469,10.32061139776035,10.470654405320603,1.6486599676933469
2017-03-26 05:00:00,13.012,898.8,1.34,2017-03,3,1.6486599676933469,2.209204356709085,3.9218489973512254,1.6486599676933469
2017-03-26 05:30:00,12.415999999999999,875.6,6.26,2017-03,3,1.6486599676933469,10.32061139776035,10.470654405320603,1.6486599676933469
2017-03-26 06:00:00,11.892592592592594,809.0370370370371,3.13,2017-03,3,1.6486599676933469,5.160305698880175,6.304442834803499,1.6486599676933469
2017-03-26 06:30:00,11.28888888888889,743.5185185185185,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 07:00:00,7.336,209.24,2.24,2017-03,3,1.6486599676933469,3.6929983276330973,5.1198012061261124,1.6486599676933469
2017-03-26 07:30:00,7.404,222.36,1.34,2017-03,3,1.6486599676933469,2.209204356709085,3.9218489973512254,1.6486599676933469
2017-03-26 08:00:00,6.47037037037037,137.59259259259258,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-26 08:30:00,6.8,139.58620689655172,3.13,2017-03,3,1.6486599676933469,5.160305698880175,6.304442834803499,1.6486599676933469
2017-03-26 09:00:00,4.8,43.92307692307692,2.24,2017-03,3,1.6486599676933469,3.6929983276330973,5.1198012061261124,1.6486599676933469
2017-03-26 09:30:00,5.833333333333333,90.20833333333333,3.13,2017-03,3,1.6486599676933469,5.160305698880175,6.304442834803499,1.6486599676933469
2017-03-26 10:00:00,6.384615384615385,129.57692307692307,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-26 10:30:00,5.748148148148148,86.92592592592592,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-26 11:00:00,4.640740740740741,38.77777777777778,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-26 11:30:00,4.075,20.25,2.24,2017-03,3,1.6486599676933469,3.6929983276330973,5.1198012061261124,1.6486599676933469
2017-03-26 12:00:00,4.004347826086956,21.304347826086957,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 12:30:00,3.185185185185185,4.222222222222222,0.89,2017-03,3,1.6486599676933469,1.4673073712470788,3.3228728929637823,1.6486599676933469
2017-03-26 13:00:00,3.223076923076923,5.230769230769231,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-26 13:30:00,2.1192307692307693,0.7692307692307693,0.89,2017-03,3,1.6486599676933469,1.4673073712470788,3.3228728929637823,1.6486599676933469
2017-03-26 14:00:00,4.56,33.88,0.89,2017-03,3,1.6486599676933469,1.4673073712470788,3.3228728929637823,1.6486599676933469
2017-03-26 14:30:00,3.28695652173913,6.6521739130434785,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-26 15:00:00,2.2576923076923077,1.3461538461538463,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 15:30:00,1.3296296296296295,0.0,3.13,2017-03,3,1.6486599676933469,5.160305698880175,6.304442834803499,1.6486599676933469
2017-03-26 16:00:00,1.1640000000000001,0.0,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 16:30:00,0.725,0.0,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 17:00:00,0.28,0.0,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 17:30:00,0.075,0.0,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 18:00:00,1.7519999999999998,1.36,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-26 18:30:00,3.773076923076923,25.153846153846153,2.24,2017-03,3,1.6486599676933469,3.6929983276330973,5.1198012061261124,1.6486599676933469
2017-03-26 19:00:00,1.2888888888888888,0.0,2.24,2017-03,3,1.6486599676933469,3.6929983276330973,5.1198012061261124,1.6486599676933469
2017-03-26 19:30:00,2.085185185185185,0.2222222222222222,1.34,2017-03,3,1.6486599676933469,2.209204356709085,3.9218489973512254,1.6486599676933469
2017-03-26 20:00:00,2.017857142857143,0.0,1.34,2017-03,3,1.6486599676933469,2.209204356709085,3.9218489973512254,1.6486599676933469
2017-03-26 20:30:00,1.3461538461538463,0.0,0.89,2017-03,3,1.6486599676933469,1.4673073712470788,3.3228728929637823,1.6486599676933469
2017-03-26 21:00:00,1.126923076923077,0.0,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-26 21:30:00,1.7214285714285715,0.0,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-26 22:00:00,2.888888888888889,5.296296296296297,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-26 22:30:00,4.424137931034483,45.86206896551724,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-26 23:00:00,5.107142857142857,73.85714285714286,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-26 23:30:00,4.352,32.76,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 00:00:00,3.46,10.48,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 00:30:00,4.492857142857143,33.32142857142857,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 01:00:00,3.485185185185185,11.185185185185185,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 01:30:00,3.781481481481481,23.48148148148148,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 02:00:00,3.707142857142857,17.678571428571427,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 02:30:00,3.266666666666667,8.083333333333334,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 03:00:00,2.0931034482758624,0.10344827586206896,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 03:30:00,1.437037037037037,0.7777777777777778,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 04:00:00,2.0458333333333334,0.2916666666666667,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 04:30:00,0.9793103448275862,0.0,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 05:00:00,2.6039999999999996,1.96,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 05:30:00,3.0,6.222222222222222,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 06:00:00,3.534615384615385,13.5,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 06:30:00,3.15,5.25,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 07:00:00,3.144444444444445,6.444444444444445,0.89,2017-03,3,1.6486599676933469,1.4673073712470788,3.3228728929637823,1.6486599676933469
2017-03-27 07:30:00,3.364,9.56,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 08:00:00,4.4714285714285715,41.464285714285715,3.13,2017-03,3,1.6486599676933469,5.160305698880175,6.304442834803499,1.6486599676933469
2017-03-27 08:30:00,4.160714285714286,30.0,2.68,2017-03,3,1.6486599676933469,4.41840871341817,5.705466730416056,1.6486599676933469
2017-03-27 09:00:00,4.353846153846154,31.692307692307693,3.13,2017-03,3,1.6486599676933469,5.160305698880175,6.304442834803499,1.6486599676933469
2017-03-27 09:30:00,4.72,39.64,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-27 10:00:00,4.62,40.64,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-27 10:30:00,5.256666666666666,62.36666666666667,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-27 11:00:00,5.41,74.26666666666667,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-27 11:30:00,5.048275862068966,55.758620689655174,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-27 12:00:00,5.011111111111112,50.0,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-27 12:30:00,4.765384615384615,43.88461538461539,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-27 13:00:00,4.692592592592593,41.074074074074076,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-27 13:30:00,4.951851851851852,49.074074074074076,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-27 14:00:00,5.348148148148148,65.4074074074074,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-27 14:30:00,4.8545454545454545,41.36363636363637,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-27 15:00:00,4.276923076923077,22.307692307692307,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-27 15:30:00,5.0280000000000005,52.6,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-27 16:00:00,5.3875,75.375,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-27 16:30:00,5.73448275862069,91.58620689655173,3.13,2017-03,3,1.6486599676933469,5.160305698880175,6.304442834803499,1.6486599676933469
2017-03-27 17:00:00,6.432,138.6,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-27 17:30:00,6.376923076923077,138.26923076923077,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-27 18:00:00,7.12,181.48,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-27 18:30:00,7.657692307692307,236.46153846153845,5.81,2017-03,3,1.6486599676933469,9.578714412298345,9.87167830093316,1.6486599676933469
2017-03-27 19:00:00,8.669230769230769,350.1923076923077,5.81,2017-03,3,1.6486599676933469,9.578714412298345,9.87167830093316,1.6486599676933469
2017-03-27 19:30:00,8.26896551724138,299.6896551724138,6.26,2017-03,3,1.6486599676933469,10.32061139776035,10.470654405320603,1.6486599676933469
2017-03-27 20:00:00,8.313333333333334,315.1333333333333,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-27 20:30:00,8.9,381.14285714285717,5.81,2017-03,3,1.6486599676933469,9.578714412298345,9.87167830093316,1.6486599676933469
2017-03-27 21:00:00,8.917857142857143,370.35714285714283,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-27 21:30:00,8.95217391304348,376.95652173913044,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-27 22:00:00,8.583333333333334,348.3333333333333,5.81,2017-03,3,1.6486599676933469,9.578714412298345,9.87167830093316,1.6486599676933469
2017-03-27 22:30:00,8.814814814814815,353.44444444444446,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-27 23:00:00,9.118518518518519,412.25925925925924,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-27 23:30:00,9.0,408.82142857142856,6.26,2017-03,3,1.6486599676933469,10.32061139776035,10.470654405320603,1.6486599676933469
2017-03-28 00:00:00,9.053846153846154,413.9230769230769,6.26,2017-03,3,1.6486599676933469,10.32061139776035,10.470654405320603,1.6486599676933469
2017-03-28 00:30:00,9.146153846153847,395.1923076923077,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 01:00:00,8.907692307692308,389.5,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-28 01:30:00,8.7,389.36,5.81,2017-03,3,1.6486599676933469,9.578714412298345,9.87167830093316,1.6486599676933469
2017-03-28 02:00:00,9.270833333333334,422.9166666666667,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 02:30:00,8.696,357.48,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 03:00:00,8.058333333333334,258.9166666666667,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-28 03:30:00,7.866666666666667,239.0,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 04:00:00,7.688,223.84,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-28 04:30:00,8.648275862068965,375.6551724137931,4.02,2017-03,3,1.6486599676933469,6.6276130701272535,7.489084463480887,1.6486599676933469
2017-03-28 05:00:00,9.15,415.375,3.58,2017-03,3,1.6486599676933469,5.902202684342182,6.903418939190942,1.6486599676933469
2017-03-28 05:30:00,8.936363636363636,390.72727272727275,4.47,2017-03,3,1.6486599676933469,7.36951005558926,8.088060567868329,1.6486599676933469
2017-03-28 06:00:00,9.507142857142856,427.14285714285717,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 06:30:00,9.3,434.32,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 07:00:00,9.796296296296296,479.85185185185185,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 07:30:00,8.951724137931036,396.1034482758621,,2017-03,3,1.6486599676933469,,,1.6486599676933469
2017-03-28 08:00:00,9.486206896551725,475.2758620689655,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
2017-03-28 08:30:00,9.92,524.6333333333333,5.36,2017-03,3,1.6486599676933469,8.83681742683634,9.272702196545719,1.6486599676933469
