Timestamp,Wind_ms,Temperature_c,Turbine_power_kw,Turbine_energy_kwh,Res_demand_kw,Res_energy_kwh,Season,Day,Time,Hour
2017-04-22 11:00:00,10.55463230613417,7.8,608.4201870373136,304.2100935186568,0.2562184431478583,0.12810922157392915,Spring,2017-04-22,11:00:00,11
2017-04-22 11:30:00,11.15135676941861,7.2,679.376959418366,339.688479709183,0.250099700897308,0.125049850448654,Spring,2017-04-22,11:30:00,11
2017-04-22 12:00:00,10.55463230613417,6.1,608.4201870373136,304.2100935186568,0.2429205467748824,0.1214602733874412,Spring,2017-04-22,12:00:00,12
2017-04-22 12:30:00,11.15135676941861,7.8,679.376959418366,339.688479709183,0.2287263412551587,0.11436317062757935,Spring,2017-04-22,12:30:00,12
2017-04-22 13:00:00,12.928269615643385,7.8,826.1434284877674,413.0717142438837,0.2242432047815568,0.1121216023907784,Spring,2017-04-22,13:00:00,13
2017-04-22 13:30:00,12.928269615643385,7.8,826.1434284877674,413.0717142438837,0.2214676248754802,0.1107338124377401,Spring,2017-04-22,13:30:00,13
2017-04-22 14:00:00,11.734820689074507,7.2,738.799264862867,369.3996324314335,0.2213278781841469,0.11066393909207345,Spring,2017-04-22,14:00:00,14
2017-04-22 14:30:00,11.734820689074507,7.8,738.799264862867,369.3996324314335,0.2206486409563114,0.1103243204781557,Spring,2017-04-22,14:30:00,14
2017-04-22 15:00:00,11.734820689074507,7.2,738.799264862867,369.3996324314335,0.228995588444571,0.1144977942222855,Spring,2017-04-22,15:00:00,15
2017-04-22 15:30:00,12.331545152358943,6.1,788.205132137842,394.102566068921,0.2491939661306389,0.12459698306531945,Spring,2017-04-22,15:30:00,15
2017-04-22 16:00:00,11.734820689074507,7.2,738.799264862867,369.3996324314335,0.2852854703287321,0.14264273516436604,Spring,2017-04-22,16:00:00,16
2017-04-22 16:30:00,12.928269615643385,7.2,826.1434284877674,413.0717142438837,0.2970953465205635,0.14854767326028176,Spring,2017-04-22,16:30:00,16
2017-04-22 17:00:00,12.928269615643385,7.8,826.1434284877674,413.0717142438837,0.3013482282624165,0.15067411413120824,Spring,2017-04-22,17:00:00,17
2017-04-22 17:30:00,12.331545152358943,7.2,788.205132137842,394.102566068921,0.2979769460651773,0.14898847303258864,Spring,2017-04-22,17:30:00,17
2017-04-22 18:00:00,11.734820689074507,7.2,738.799264862867,369.3996324314335,0.28892742279778,0.14446371139889,Spring,2017-04-22,18:00:00,18
2017-04-22 18:30:00,10.55463230613417,7.2,608.4201870373136,304.2100935186568,0.2788639533228974,0.1394319766614487,Spring,2017-04-22,18:30:00,18
2017-04-22 19:00:00,12.331545152358943,7.2,788.205132137842,394.102566068921,0.2830498149729576,0.1415249074864788,Spring,2017-04-22,19:00:00,19
2017-04-22 19:30:00,11.15135676941861,7.2,679.376959418366,339.688479709183,0.2866645317392542,0.1433322658696271,Spring,2017-04-22,19:30:00,19
2017-04-22 20:00:00,10.55463230613417,6.1,608.4201870373136,304.2100935186568,0.2817758326216908,0.1408879163108454,Spring,2017-04-22,20:00:00,20
2017-04-22 20:30:00,9.361183379565293,6.1,446.3136253284918,223.1568126642459,0.2697532023911187,0.13487660119555936,Spring,2017-04-22,20:30:00,20
2017-04-22 21:00:00,7.5842705333405185,6.1,211.40407765277317,105.70203882638658,0.2521241104469114,0.1260620552234557,Spring,2017-04-22,21:00:00,21
2017-04-22 21:30:00,7.000806613684623,6.1,149.75859909408402,74.87929954704201,0.2286130638963996,0.1143065319481998,Spring,2017-04-22,21:30:00,21
2017-04-22 22:00:00,5.807357687115745,3.9,58.900192052965004,29.450096026482502,0.2024919595844599,0.10124597979222995,Spring,2017-04-22,22:00:00,22
2017-04-22 22:30:00,5.223893767459849,3.9,31.688509230517813,15.844254615258906,0.1779174612210046,0.0889587306105023,Spring,2017-04-22,22:30:00,22
2017-04-22 23:00:00,5.223893767459849,3.9,31.688509230517813,15.844254615258906,0.1591949622883165,0.07959748114415825,Spring,2017-04-22,23:00:00,23
2017-04-22 23:30:00,6.404082150400184,3.9,98.2404285464902,49.1202142732451,0.1441746122100469,0.07208730610502345,Spring,2017-04-22,23:30:00,23
2017-04-23 00:00:00,5.807357687115745,3.9,58.900192052965004,29.450096026482502,0.128995584045584,0.064497792022792,Spring,2017-04-23,00:00:00,0
2017-04-23 00:30:00,4.030444840890971,3.9,4.4532431707205555,2.2266215853602778,0.1186508547008546,0.0593254273504273,Spring,2017-04-23,00:30:00,0
2017-04-23 01:00:00,6.404082150400184,5.0,98.2404285464902,49.1202142732451,0.1108545584045583,0.05542727920227915,Spring,2017-04-23,01:00:00,1
2017-04-23 01:30:00,6.404082150400184,3.9,98.2404285464902,49.1202142732451,0.1051886039886039,0.05259430199430195,Spring,2017-04-23,01:30:00,1
2017-04-23 02:00:00,5.223893767459849,3.9,31.688509230517813,15.844254615258906,0.1025957264957265,0.05129786324786325,Spring,2017-04-23,02:00:00,2
2017-04-23 02:30:00,5.807357687115745,5.0,58.900192052965004,29.450096026482502,0.098851282051282,0.049425641025641,Spring,2017-04-23,02:30:00,2
2017-04-23 03:00:00,6.404082150400184,5.0,98.2404285464902,49.1202142732451,0.0997631054131053,0.04988155270655265,Spring,2017-04-23,03:00:00,3
2017-04-23 03:30:00,6.404082150400184,6.1,98.2404285464902,49.1202142732451,0.0979836182336182,0.0489918091168091,Spring,2017-04-23,03:30:00,3
2017-04-23 04:00:00,5.223893767459849,5.0,31.688509230517813,15.844254615258906,0.1012678062678062,0.0506339031339031,Spring,2017-04-23,04:00:00,4
