Timestamp,Power_kw,Setpoint_kw,Baseline_wind_ms,Scrape_wind_ms,scraped_interpolated,baseline_interpolated,Scrape_linear_scaled_wind_ms,Final_wind_ms,Wind_data_source,Predicted_power_kw,Final_power_kw,Power_data_source,Energy_kwh
2017-01-01 00:00:00,889.7666666666667,900.0,13.82,10.28,True,False,15.871209726467027,13.82,baseline,861.539132627834,889.7666666666667,baseline,444.8833333333333
2017-01-01 00:30:00,893.2666666666667,900.0,16.106666666666666,10.28,False,False,15.871209726467027,16.106666666666666,baseline,896.3057042725981,893.2666666666667,baseline,446.6333333333333
2017-01-01 01:00:00,897.6333333333333,900.0,16.38,9.39,False,False,14.691604345350365,16.38,baseline,897.3704952587169,897.6333333333333,baseline,448.81666666666666
2017-01-01 01:30:00,899.9666666666667,900.0,17.083333333333332,9.83,False,False,15.274780039385568,17.083333333333332,baseline,898.9714975942587,899.9666666666667,baseline,449.98333333333335
2017-01-01 02:00:00,900.0,900.0,16.8,7.15,False,False,11.722709902989322,16.8,baseline,898.4818531779492,900.0,baseline,450.0
2017-01-01 02:30:00,899.9565217391304,900.0,18.02173913043478,8.94,False,False,14.095174658268904,18.02173913043478,baseline,899.7469152834394,899.9565217391304,baseline,449.9782608695652
2017-01-01 03:00:00,899.5581395348837,900.0,18.109302325581396,9.39,False,False,14.691604345350365,18.109302325581396,baseline,899.7799586928801,899.5581395348837,baseline,449.77906976744185
2017-01-01 03:30:00,894.6666666666666,900.0,15.856666666666666,8.05,False,False,12.915569277152242,15.856666666666666,baseline,895.0173587734153,894.6666666666666,baseline,447.3333333333333
2017-01-01 04:00:00,899.4333333333333,900.0,17.493333333333332,8.94,False,False,14.095174658268904,17.493333333333332,baseline,899.4304543706777,899.4333333333333,baseline,449.71666666666664
2017-01-01 04:30:00,897.6333333333333,900.0,14.766666666666667,6.71,False,False,11.139534208954117,14.766666666666667,baseline,883.8189487108654,897.6333333333333,baseline,448.81666666666666
2017-01-01 05:00:00,872.1,900.0,13.906666666666666,11.18,False,False,17.064069100629943,13.906666666666666,baseline,864.2649655733287,872.1,baseline,436.05
2017-01-01 05:30:00,817.9,900.0,13.373333333333333,11.030666666666667,True,False,16.866142804472545,13.373333333333333,baseline,844.8064150245199,817.9,baseline,408.95
2017-01-01 06:00:00,894.5,900.0,16.213333333333335,10.881333333333332,True,False,16.66821650831514,16.213333333333335,baseline,896.7595029946291,894.5,baseline,447.25
2017-01-01 06:30:00,883.4,900.0,14.893333333333334,10.732,True,False,16.470290212157735,14.893333333333334,baseline,885.7436693309259,883.4,baseline,441.7
2017-01-01 07:00:00,898.9333333333333,900.0,19.513333333333332,10.582666666666666,True,False,16.272363916000337,19.513333333333332,baseline,899.9813174922202,898.9333333333333,baseline,449.46666666666664
2017-01-01 07:30:00,896.8,900.0,21.246666666666666,,True,False,,21.246666666666666,baseline,899.9995203644421,896.8,baseline,448.4
2017-01-01 08:00:00,898.3666666666667,900.0,21.44333333333333,,True,False,,21.44333333333333,baseline,899.9996976540846,898.3666666666667,baseline,449.18333333333334
2017-01-01 08:30:00,898.2,900.0,19.46333333333333,,True,False,,19.46333333333333,baseline,899.979450519973,898.2,baseline,449.1
2017-01-01 09:00:00,896.3,900.0,17.720000000000002,,True,False,,17.720000000000002,baseline,899.595030164236,896.3,baseline,448.15
2017-01-01 09:30:00,898.5666666666667,900.0,15.76,,True,False,,15.76,baseline,894.4229334503719,898.5666666666667,baseline,449.28333333333336
2017-01-01 10:00:00,883.0333333333333,900.0,16.27,,True,False,,16.27,baseline,896.9799918940779,883.0333333333333,baseline,441.51666666666665
2017-01-01 10:30:00,895.7666666666667,900.0,16.76,9.537333333333333,True,False,14.886879842898516,16.76,baseline,898.3980365531212,895.7666666666667,baseline,447.8833333333333
2017-01-01 11:00:00,891.6666666666666,900.0,16.533333333333335,9.388,True,False,14.688953546741113,16.533333333333335,baseline,897.8400870410344,891.6666666666666,baseline,445.8333333333333
2017-01-01 11:30:00,890.3666666666667,900.0,16.646666666666665,9.238666666666667,True,False,14.491027250583711,16.646666666666665,baseline,898.137624118467,890.3666666666667,baseline,445.18333333333334
2017-01-01 12:00:00,860.1,900.0,14.946666666666665,9.089333333333332,True,False,14.293100954426306,14.946666666666665,baseline,886.4945558030809,860.1,baseline,430.05
2017-01-01 12:30:00,756.9666666666667,900.0,13.503333333333334,8.94,False,False,14.095174658268904,13.503333333333334,baseline,850.1642121496687,756.9666666666667,baseline,378.48333333333335
2017-01-01 13:00:00,868.4333333333333,900.0,14.96,11.62,False,False,17.64724479466515,14.96,baseline,886.6769894501895,868.4333333333333,baseline,434.21666666666664
2017-01-01 13:30:00,861.3333333333334,900.0,13.186666666666667,11.18,False,False,17.064069100629943,13.186666666666667,baseline,836.3609644925895,861.3333333333334,baseline,430.6666666666667
2017-01-01 14:00:00,866.4666666666667,900.0,13.396666666666667,11.18,False,False,17.064069100629943,13.396666666666667,baseline,845.7990439603669,866.4666666666667,baseline,433.23333333333335
2017-01-01 14:30:00,877.9666666666667,900.0,13.376666666666667,10.28,False,False,15.871209726467027,13.376666666666667,baseline,844.9490602812091,877.9666666666667,baseline,438.98333333333335
2017-01-01 15:00:00,762.3333333333334,900.0,12.223333333333333,10.73,False,False,16.46763941354849,12.223333333333333,baseline,777.0691164730716,762.3333333333334,baseline,381.1666666666667
2017-01-01 15:30:00,764.2333333333333,900.0,11.993333333333334,9.39,False,False,14.691604345350365,11.993333333333334,baseline,758.7215037800248,764.2333333333333,baseline,382.1166666666667
