Timestamp,res_demand_avg_kw,res_n_households,res_energy_per_household_kwh,res_energy_total_kwh,season,hour,day
2017-11-10 23:30:00,0.1929140832595218,10161,0.0964570416297609,980.1000000000006,Autumn,23,2017-11-10
2017-11-11 00:00:00,0.1707980864075755,10138,0.08539904320378774,865.7755000000002,Autumn,0,2017-11-11
2017-11-11 00:30:00,0.1525716960678033,10147,0.07628584803390165,774.0725,Autumn,0,2017-11-11
2017-11-11 01:00:00,0.1383852975955853,10148,0.06919264879779265,702.1669999999998,Autumn,1,2017-11-11
2017-11-11 01:30:00,0.1278399291199055,10158,0.06391996455995275,649.299,Autumn,1,2017-11-11
2017-11-11 02:00:00,0.1225529423341862,10162,0.0612764711670931,622.6915000000001,Autumn,2,2017-11-11
2017-11-11 02:30:00,0.1167917732729777,10162,0.05839588663648885,593.4189999999996,Autumn,2,2017-11-11
2017-11-11 03:00:00,0.1119566030308994,10162,0.0559783015154497,568.8514999999999,Autumn,3,2017-11-11
2017-11-11 03:30:00,0.1087429639834678,10162,0.0543714819917339,552.5229999999999,Autumn,3,2017-11-11
2017-11-11 04:00:00,0.1071322574296398,10162,0.0535661287148199,544.3389999999998,Autumn,4,2017-11-11
2017-11-11 04:30:00,0.1070337531981893,10162,0.05351687659909465,543.8384999999998,Autumn,4,2017-11-11
2017-11-11 05:00:00,0.1097011415075772,10162,0.0548505707537886,557.3914999999997,Autumn,5,2017-11-11
2017-11-11 05:30:00,0.117310076756544,10162,0.058655038378272,596.0525,Autumn,5,2017-11-11
2017-11-11 06:00:00,0.1307674670340484,10162,0.0653837335170242,664.4295,Autumn,6,2017-11-11
2017-11-11 06:30:00,0.1461765400511711,10162,0.07308827002558554,742.7230000000003,Autumn,6,2017-11-11
2017-11-11 07:00:00,0.1708545561897264,10162,0.0854272780948632,868.1119999999999,Autumn,7,2017-11-11
2017-11-11 07:30:00,0.2015638653808305,10162,0.10078193269041524,1024.1459999999997,Autumn,7,2017-11-11
2017-11-11 08:00:00,0.2329237354851407,10162,0.11646186774257035,1183.4854999999998,Autumn,8,2017-11-11
2017-11-11 08:30:00,0.2564682149183231,10162,0.12823410745916156,1303.1149999999998,Autumn,8,2017-11-11
2017-11-11 09:00:00,0.2736562346225766,10161,0.1368281173112883,1390.3105000000005,Autumn,9,2017-11-11
2017-11-11 09:30:00,0.2813715185513236,10161,0.1406857592756618,1429.5079999999996,Autumn,9,2017-11-11
2017-11-11 10:00:00,0.285745817752411,10162,0.1428729088762055,1451.8745000000001,Autumn,10,2017-11-11
2017-11-11 10:30:00,0.2871908088958866,10162,0.1435954044479433,1459.2164999999998,Autumn,10,2017-11-11
2017-11-11 11:00:00,0.2854181263530801,10162,0.14270906317654006,1450.2095000000002,Autumn,11,2017-11-11
2017-11-11 11:30:00,0.2894609328872269,10162,0.14473046644361345,1470.751,Autumn,11,2017-11-11
2017-11-11 12:00:00,0.2863371051854767,10163,0.14316855259273836,1455.022,Autumn,12,2017-11-11
2017-11-11 12:30:00,0.2823131949227591,10163,0.14115659746137954,1434.5745000000002,Autumn,12,2017-11-11
2017-11-11 13:00:00,0.2745355702056479,10163,0.13726778510282395,1395.0524999999998,Autumn,13,2017-11-11
2017-11-11 13:30:00,0.2688622453999803,10163,0.13443112269999016,1366.2235,Autumn,13,2017-11-11
2017-11-11 14:00:00,0.2644396339663484,10163,0.1322198169831742,1343.7499999999993,Autumn,14,2017-11-11
2017-11-11 14:30:00,0.2640192875418225,10162,0.13200964377091126,1341.4820000000002,Autumn,14,2017-11-11
2017-11-11 15:00:00,0.2716407203306434,10162,0.1358203601653217,1380.206499999999,Autumn,15,2017-11-11
2017-11-11 15:30:00,0.2852190298140313,10163,0.14260951490701565,1449.3405,Autumn,15,2017-11-11
2017-11-11 16:00:00,0.3249241365738463,10163,0.16246206828692314,1651.1019999999999,Autumn,16,2017-11-11
2017-11-11 16:30:00,0.3700456558102921,10163,0.18502282790514604,1880.3869999999993,Autumn,16,2017-11-11
2017-11-11 17:00:00,0.405029715635147,10163,0.2025148578175735,2058.1584999999995,Autumn,17,2017-11-11
2017-11-11 17:30:00,0.4186295385220899,10163,0.20931476926104495,2127.2659999999996,Autumn,17,2017-11-11
2017-11-11 18:00:00,0.4058992423496999,10163,0.20294962117484994,2062.5769999999998,Autumn,18,2017-11-11
2017-11-11 18:30:00,0.3958572271966937,10163,0.19792861359834685,2011.548499999999,Autumn,18,2017-11-11
2017-11-11 19:00:00,0.3789465708944209,10163,0.18947328544721045,1925.6169999999997,Autumn,19,2017-11-11
2017-11-11 19:30:00,0.3583718390239102,10163,0.1791859195119551,1821.0664999999995,Autumn,19,2017-11-11
2017-11-11 20:00:00,0.3390161369674308,10163,0.1695080684837154,1722.7104999999997,Autumn,20,2017-11-11
2017-11-11 20:30:00,0.3201411984650202,10163,0.1600705992325101,1626.7975000000001,Autumn,20,2017-11-11
